pl_name,tic,sector,author,exptime,pl_orbper,pl_trandur,pl_imppar,pl_orbeccen,st_mass,st_rad,st_teff,tmag,ratror,why,pl_tranmid,pl_orbpererr1,pl_tranmiderr1,archive_pl_name
TOI-4562 b,349576261,27,SPOC,120.0,225.1064,4.32,0.6,0.76,1.192,1.152,6096.0,11.5326,,high e (>=0.35),2459476.90040000,0.00015000000,0.00051000,TOI-4562 b
TOI-4127 b,141488193,40,SPOC,120.0,56.3987,3.82,0.15,0.7484,1.23,1.293,6096.0,11.0383,,high e (>=0.35),2459765.10940000,0.00010000000,0.00080000,TOI-4127 b
TOI-5110 b,239977528,60,SPOC,120.0,30.158577,4.217,0.43,0.745,1.469,2.333,6160.0,10.2592,,high e (>=0.35),2459503.67900000,0.00009200000,0.00120000,TOI-5110 b
HD 56414 b,300038935,1,SPOC,120.0,29.04992,7.58,0.34,0.68,1.89,1.751,8500.0,9.0963,,high e (>=0.35),2458348.32400000,0.00021000000,0.00500000,HD 56414 b
TOI-2134 c,75878355,26,SPOC,120.0,95.5,5.267,0.464,0.67,0.744,0.709,4580.0,7.7945,,high e (>=0.35),2459718.96939000,0.36000000000,0.00020000,TOI-2134 c
TOI-201 c,350618622,1,SPOC,120.0,2890.0,14.0,0.44,0.651,1.32,1.31,6423.0,8.5822,,high e (>=0.35),2460062.59000000,20.00000000000,0.02000000,TOI-201 c
TOI-3457 b,357312511,65,SPOC,120.0,32.600268,4.149,0.291,0.59,1.04,1.474,6300.0,11.6146,,high e (>=0.35),2459531.16898000,0.00002800000,0.00048000,TOI-3457 b
TOI-2295 b,48018596,15,SPOC,120.0,30.033302,3.01,1.056,0.334,1.168,1.459,5730.0,9.00772,,mid e (0.15-0.35),2458713.45510000,0.00007200000,0.00270000,TOI-2295 b
TOI-1751 b,287080092,15,SPOC,120.0,37.46852,7.6512325,0.389551,0.327,0.9382,1.3137,5970.0,8.80616,,mid e (0.15-0.35),2458733.63500000,0.00013000000,0.00200000,TOI-1751 b
NGTS-30 b,322807371,63,SPOC,120.0,98.29838,6.13,0.777,0.294,0.94,0.913,5455.0,11.6707,,mid e (0.15-0.35),2459287.60000000,0.00010000000,0.00130000,NGTS-30 b
TOI-2147 b,341630071,40,SPOC,120.0,26.20518,5.85,0.33,0.29,0.99,1.39,5983.0,10.7047,,mid e (0.15-0.35),2459389.53490000,0.00003000000,0.00060000,TOI-2147 b
TOI-4600 b,232608943,40,SPOC,120.0,82.6869,7.54,0.39,0.25,0.89,0.81,5170.0,11.8787,,mid e (0.15-0.35),2459750.14210000,0.00030000000,0.00200000,TOI-4600 b
TOI-4633 c,307958020,14,SPOC,120.0,271.9445,11.45,0.33,0.117,1.1,1.05,5800.0,8.3498,,"low e (<0.15), longest P",2458864.82650000,0.00390000000,0.00880000,TOI-4633 c
TOI-791 c,306472057,4,SPOC,120.0,232.0157,11.926,0.671,0.028,1.28,1.474,6294.0,10.7525,,"low e (<0.15), longest P",2459433.98252000,0.00067000000,0.00150000,TOI-791 c
TOI-2088 b,441765914,14,SPOC,120.0,124.72997,7.361987,0.359163,0.0,0.9027,0.8481,5081.0,10.8812,,"low e (<0.15), longest P",2458769.60660000,0.00065000000,0.00270000,TOI-2088 b
TOI-2449 b,170729775,4,SPOC,120.0,106.14468,8.26,0.704,0.098,1.079,1.065,6021.0,9.8999,,"low e (<0.15), longest P",2459153.59340000,0.00022000000,0.00060000,TOI-2449 b
TOI-199 b,309792357,1,SPOC,120.0,104.854,6.6885919,0.45,0.09,0.936,0.82,5255.0,10.0391,,"low e (<0.15), longest P",2458256.12860000,0.00100000000,0.00060000,TOI-199 b
TOI-4507 b,179582003,2,SPOC,120.0,104.61611,9.329,0.12,0.09,1.11,1.04,6260.0,10.2301,,"low e (<0.15), longest P",2458413.85150000,0.00006000000,0.00080000,TOI-4507 b
TOI-712 d,150151262,3,SPOC,120.0,84.8396,5.702,0.34,0.073,0.732,0.674,4622.0,9.9059,,"low e (<0.15), longest P",2458640.54570000,0.00043000000,0.00190000,TOI-712 d
HD 28109 d,29781292,1,SPOC,120.0,84.2899,10.32,0.25,0.0054,1.227,1.425,6189.0,8.9387,,"low e (<0.15), longest P",2458355.56850000,0.00180000000,0.00750000,HD 28109 d
TOI-813 b,55525572,4,SPOC,120.0,83.8911,13.16,0.3,0.0,1.32,1.94,5907.0,9.8467,,"low e (<0.15), longest P",2458370.78360000,0.00270000000,0.00720000,TOI-813 b
TOI-904 c,261257684,12,SPOC,120.0,83.9997,5.04,0.373,,0.557,0.527,3770.2,10.846,,"no published e, longest P",2459386.34900000,0.00060000000,0.00300000,TOI-904 c
TOI-707 b,167342439,1,SPOC,120.0,52.79918,6.215,0.421,,0.99,0.978,5424.0,10.0906,,"no published e, longest P",2459295.91130000,0.00021000000,0.00160000,TOI-707 b
HD 22946 d,100990000,3,SPOC,120.0,47.42489,6.482,0.456,,1.098,1.117,6169.0,7.757,,"no published e, longest P",2459136.53720000,0.00010000000,0.00087000,HD 22946 d
NGTS-34 b,147277741,9,TESS-SPOC,1800.0,43.12655,5.255,0.796,,1.266,1.367,6134.0,8.7504,,"no published e, longest P",2459282.79250000,0.00012000000,0.00240000,NGTS-34 b
TOI-6478 b,332657786,8,SPOC,120.0,34.005019,2.9,0.186,,0.23,0.234,3230.0,13.0041,,"no published e, longest P",2459454.90101000,0.00002500000,0.00068000,TOI-6478 b
TOI-1752 c,287139872,14,SPOC,120.0,32.71443,3.59,0.43,,0.524,0.53,3762.0,12.7463,,"no published e, longest P",2459358.92870000,0.00041000000,0.00490000,TOI-1752 c
TOI-1227 b,360156606,11,SPOC,120.0,27.36397,4.831,0.849,,0.17,0.56,3072.0,13.802,,"no published e, longest P",2458617.46210000,0.00011000000,0.00160000,TOI-1227 b
