pl_name,tic_id,pl_orbper,pl_trandur,pl_imppar,pl_orbeccen,st_mass,st_rad,st_teff
TOI-1203.01,23434737,25.502672,6.1530000,0.407000,0.032000,0.886000,1.179000,5737.00
TOI-561 d,377064495,25.71268,4.7300000,0.360000,0.111000,0.806000,0.843000,5342.00
TOI-1386 b,343019899,25.8401,5.6703771,0.293789,0.000000,1.036300,1.023500,5735.00
TOI-4940 b,237929468,25.867811,4.2910000,0.817000,,1.012000,1.163000,5504.00
TOI-6041 b,192415680,26.04945,3.6620000,0.738000,,0.885000,0.879000,5445.00
TOI-2147 b,341630071,26.20518,5.8500000,0.330000,0.290000,0.990000,1.390000,5983.00
TOI-1136 f,142276270,26.321,5.1779232,0.420000,0.001000,1.022000,0.968000,5770.00
TOI-1227 b,360156606,27.36397,4.8310000,0.849000,,0.170000,0.560000,3072.00
TOI-1439 b,232982558,27.644,5.6278203,0.570412,0.157000,1.231300,1.618400,5841.00
TOI-700 e,150428135,27.80978,2.7770000,0.470000,0.059000,0.415000,0.421000,3459.00
TOI-2095 c,235678745,28.17232,3.3983448,0.104000,0.000000,0.440000,0.440000,3759.00
HD 191939 c,269701147,28.579743,4.1620000,0.630000,0.034000,0.810000,0.940000,5348.00
HD 56414 b,300038935,29.04992,7.5800000,0.340000,0.680000,1.890000,1.751000,8500.00
TOI-1899 b,172370679,29.090312,4.7000000,0.350000,0.044000,0.632000,0.607000,3926.00
HD 23472 c,425997655,29.79749,2.9400000,0.785000,0.063000,0.670000,0.710000,4684.00
TOI-2295 b,48018596,30.033302,3.0100000,1.056000,0.334000,1.168000,1.459000,5730.00
TOI-4406 b,206541859,30.08364,3.9858103,0.887000,0.150000,1.190000,1.290000,6219.00
TOI-5110 b,239977528,30.158577,4.2170000,0.430000,0.745000,1.469000,2.333000,6160.00
TOI-4582 b,219854519,31.034,12.0587354,0.520000,0.510000,1.340000,2.500000,5190.00
TOI-3457 b,357312511,32.600268,4.1490000,0.291000,0.590000,1.040000,1.474000,6300.00
TOI-1752 c,287139872,32.71443,3.5900000,0.430000,,0.524000,0.530000,3762.00
TOI-6478 b,332657786,34.005019,2.9000000,0.186000,,0.230000,0.234000,3230.00
TOI-216.01,55652896,34.525528,3.8206653,0.140000,0.004600,0.770000,0.748000,5026.00
TOI-815 c,102840239,34.976145,2.9700000,0.839000,0.220000,0.776000,0.770000,4869.00
TOI-2076 d,27491137,35.12803,3.0460000,0.780000,0.027000,0.849000,0.758000,5187.00
TOI-2257 b,198485881,35.189346,3.8460000,0.374000,0.496000,0.328000,0.313000,3430.00
NGTS-11 b,54002556,35.45533,3.5900000,0.810000,0.130000,0.862000,0.832000,5050.00
GJ 143 b,279741379,35.61253,3.2300000,0.587000,0.188000,0.730000,0.695000,4640.00
TOI-700 d,150428135,37.42396,3.3140000,0.290000,0.042000,0.415000,0.421000,3459.00
TOI-1751 b,287080092,37.46852,7.6512325,0.389551,0.327000,0.938200,1.313700,5970.00
TOI-1246 e,230127302,37.92548,3.5440768,0.565603,0.000000,0.888900,0.864900,5213.00
HD 191939 d,269701147,38.353037,5.3600000,0.440000,0.031000,0.810000,0.940000,5348.00
TOI-1823 b,142381532,38.8,5.9233770,0.186166,0.000000,0.841400,0.804900,4927.00
TOI-286 c,150030205,39.361826,4.9700000,0.320000,0.000000,0.832000,0.780000,5152.00
TOI-1136 g,142276270,39.545,5.8000000,0.310000,0.040000,1.022000,0.968000,5770.00
TOI-1670 c,441739020,40.74976,5.4000000,0.760000,0.090000,1.210000,1.316000,6170.00
NGTS-34 b,147277741,43.12655,5.2550000,0.796000,,1.266000,1.367000,6134.00
TIC 147027702 b,147027702,44.40523,15.9000000,0.230000,0.127000,1.406000,2.136000,6410.00
TOI-1898 b,91987762,45.52234,4.2704237,0.699826,0.485000,1.248400,1.613100,6241.00
HD 35843 c,7422496,46.9622,5.8000000,0.470000,0.153000,0.940000,0.897000,5666.00
HD 22946 d,100990000,47.42489,6.4820000,0.456000,,1.098000,1.117000,6169.00
TOI-5678 b,209464063,47.73022,6.9600000,0.170000,0.140000,0.905000,0.938000,5485.00
TOI-7510 d,118798035,48.864468,4.9745890,0.681000,0.040000,1.063000,1.035000,5720.00
TOI-2525 c,149601126,49.2519,5.5020000,,0.157000,0.849000,0.785000,5096.00
TOI-712 c,150151262,51.69906,4.8430000,0.280000,0.089000,0.732000,0.674000,4622.00
HIP 9618 c,306263608,52.56363,6.5715569,0.290877,0.000000,0.942000,0.959300,5649.00
TOI-707 b,167342439,52.79918,6.2150000,0.421000,,0.990000,0.978000,5424.00
TOI-201 b,350618622,52.9786,4.7900000,0.729000,0.275000,1.320000,1.310000,6423.00
TOI-2093 c,402898317,53.81149,4.6800000,0.560000,0.000000,0.745000,0.729000,4426.00
NGTS-20 b,257527578,54.18915,4.5500000,0.846000,0.432000,1.470000,1.780000,5980.00
HD 28109 c,29781292,55.99712,8.9570000,0.310000,0.003900,1.227000,1.425000,6189.00
TOI-4127 b,141488193,56.3987,3.8200000,0.150000,0.748400,1.230000,1.293000,6096.00
TOI-2589 b,157698565,61.6277,6.4010000,0.878000,0.522000,0.930000,1.070000,5579.00
TOI-1859 b,229742722,63.48347,5.4570000,0.610000,0.570000,1.287000,1.360000,6341.00
TOI-2529 b,269333648,64.5949,8.9430000,0.680000,0.021000,1.110000,1.700000,5802.00
TOI-2447 b,1167538,69.33684,7.1600000,0.277000,0.170000,1.034000,1.006000,5730.00
TOI-5542 b,466206508,75.12375,8.5990000,0.419000,0.018000,0.890000,1.058000,5700.00
TOI-561 e,377064495,77.144,7.1380000,0.190000,0.074000,0.806000,0.843000,5342.00
TOI-6695 b,118339710,80.389,8.6668849,,0.040000,1.338000,1.517000,6400.00
TOI-4600 b,232608943,82.6869,7.5400000,0.390000,0.250000,0.890000,0.810000,5170.00
TOI-4504 c,349972412,82.97213,7.4967507,0.492000,0.032000,0.890000,0.920000,5315.00
TOI-813 b,55525572,83.8911,13.1600000,0.300000,0.000000,1.320000,1.940000,5907.00
TOI-904 c,261257684,83.9997,5.0400000,0.373000,,0.557000,0.527000,3770.20
HD 28109 d,29781292,84.2899,10.3200000,0.250000,0.005400,1.227000,1.425000,6189.00
TOI-712 d,150151262,84.8396,5.7020000,0.340000,0.073000,0.732000,0.674000,4622.00
TOI-1221 b,349095149,91.68278,8.1200000,0.250000,0.210000,0.930000,1.031000,5592.00
TOI-2537 b,399967279,94.1022,4.9370000,0.480000,0.364000,0.771000,0.771000,4870.00
TOI-1338 b,260128333,95.4001,11.6316864,,0.033100,1.093600,1.313000,5723.20
TOI-2134 c,75878355,95.5,5.2670000,0.464000,0.670000,0.744000,0.709000,4580.00
NGTS-30 b,322807371,98.29838,6.1300000,0.777000,0.294000,0.940000,0.913000,5455.00
TOI-4465 b,157236902,101.94054,12.0020000,0.080000,0.240000,0.930000,1.014000,5545.00
TOI-4507 b,179582003,104.61611,9.3290000,0.120000,0.090000,1.110000,1.040000,6260.00
TOI-199 b,309792357,104.854,6.6885919,0.450000,0.090000,0.936000,0.820000,5255.00
TOI-2449 b,170729775,106.14468,8.2600000,0.704000,0.098000,1.079000,1.065000,6021.00
TOI-2088 b,441765914,124.72997,7.3619870,0.359163,0.000000,0.902700,0.848100,5081.00
TOI-6692 b,324609409,131.125,11.0600000,0.618000,0.537000,1.047000,1.385000,5890.00
TOI-791 b,306472057,139.29931,12.3660000,0.313000,0.032000,1.280000,1.474000,6294.00
TOI-2010 b,26547036,141.834025,8.6810000,0.147000,0.212000,1.112000,1.079000,5929.00
TIC 52059926 b,52059926,175.532,4.8700000,0.460000,0.510000,0.730000,0.720000,4505.00
NGTS-38 b,65910228,180.52797,14.8600000,0.853600,0.308600,1.460000,1.880000,6310.00
TOI-4562 b,349576261,225.1064,4.3200000,0.600000,0.760000,1.192000,1.152000,6096.00
TOI-791 c,306472057,232.0157,11.9260000,0.671000,0.028000,1.280000,1.474000,6294.00
TOI-2180 b,298663873,260.79,24.0960000,0.100000,0.368300,1.111000,1.636000,5695.00
TOI-4633 c,307958020,271.9445,11.4500000,0.330000,0.117000,1.100000,1.050000,5800.00
TOI-4600 c,232608943,482.8191,11.1400000,0.460000,0.210000,0.890000,0.810000,5170.00
TOI-201 c,350618622,2890.0,14.0000000,0.440000,0.651000,1.320000,1.310000,6423.00
